time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore,timestamp
1744070700000000,79247.72,79295.99,79186.02,79282.36,12.75757,1744070999999999,1011172.2380906,993,8.11706,643360.6116798,0,2025-04-08 00:05:00
1744071000000000,79280.03,79480.33,79280.03,79474.0,6.92001,1744071299999999,549460.3049442,958,4.45681,353889.3467335,0,2025-04-08 00:10:00
1744071300000000,79475.0,79509.99,79329.81,79500.0,8.31401,1744071599999999,660410.1528592,962,5.08908,404206.5962452,0,2025-04-08 00:15:00
1744071600000000,79500.0,79567.96,79448.0,79454.01,13.4754,1744071899999999,1071689.9461874,951,7.63367,607188.6349528,0,2025-04-08 00:20:00
1744071900000000,79454.01,79454.01,79321.71,79321.71,11.50274,1744072199999999,913165.5602397,740,3.3181,263463.5326341,0,2025-04-08 00:25:00
1744072200000000,79321.71,79321.71,79063.58,79206.25,24.57986,1744072499999999,1945567.046919,1699,8.63658,683615.4455565,0,2025-04-08 00:30:00
1744072500000000,79215.21,79323.14,79104.0,79258.76,8.74161,1744072799999999,692388.0279227,845,4.30474,341024.5167696,0,2025-04-08 00:35:00
1744072800000000,79258.75,79451.91,79232.01,79317.32,9.47782,1744073099999999,752260.9488185,911,5.15426,409044.0892831,0,2025-04-08 00:40:00
1744073100000000,79317.33,79323.18,79173.91,79230.2,6.10583,1744073399999999,483868.8060907,868,3.01036,238560.3020772,0,2025-04-08 00:45:00
1744073400000000,79226.01,79313.73,79126.33,79278.77,8.11915,1744073699999999,643198.8628408,774,4.92307,390013.5263174,0,2025-04-08 00:50:00
1744073700000000,79278.77,79322.77,78967.08,78996.39,20.93927,1744073999999999,1657001.8590848,1818,6.45097,510444.3484503,0,2025-04-08 00:55:00
1744074000000000,78994.0,79027.14,78751.76,78974.79,30.86908,1744074299999999,2435237.8540328,2348,14.4569,1140457.2954134,0,2025-04-08 01:00:00
1744074300000000,78974.78,79142.79,78912.27,79129.71,13.45871,1744074599999999,1063408.3653228,1109,8.48595,670558.6368811,0,2025-04-08 01:05:00
1744074600000000,79127.71,79259.08,79120.81,79182.41,13.91545,1744074899999999,1101832.5780972,1006,9.24867,732293.7938661,0,2025-04-08 01:10:00
1744074900000000,79188.98,79251.66,78995.99,79172.01,15.47312,1744075199999999,1223844.5179516,1097,9.61262,760251.0821919,0,2025-04-08 01:15:00
1744075200000000,79168.01,79511.85,79164.14,79486.0,22.9475,1744075499999999,1820254.438396,1851,15.06428,1194943.2458496,0,2025-04-08 01:20:00
1744075500000000,79491.53,79750.37,79428.12,79690.0,26.26833,1744075799999999,2090189.7404077,2062,18.36109,1461172.604298,0,2025-04-08 01:25:00
1744075800000000,79692.0,79953.38,79626.0,79778.06,19.70331,1744076099999999,1572407.6088854,2026,14.00558,1117477.0344619,0,2025-04-08 01:30:00
